arquivo,slug,camel,categoria,decisao,uso
Office-File-Txt-1--Streamline-Ultimate.svg,file-txt,fileTxt,generico,new,
Office-File-Xls-1--Streamline-Ultimate.svg,file-xls,fileXls,generico,new,
Office-Folder--Streamline-Ultimate.svg,office-folder,officeFolder,generico,new,
Paginate-Filter-Camera--Streamline-Ultimate.svg,gallery-camera,galleryCamera,generico,new,
Paginate-Filter-Picture--Streamline-Ultimate.svg,gallery-picture,galleryPicture,generico,new,
Paginate-Filter-Video--Streamline-Ultimate.svg,gallery-video,galleryVideo,generico,new,
Parking-Brake-System--Streamline-Ultimate.svg,parking-brake,parkingBrake,telemetria,new,Freio de estacionamento
Pencil--Streamline-Ultimate.svg,pencil,pencil,generico,new,
Pencil-Write--Streamline-Ultimate.svg,pencil-write,pencilWrite,generico,new,
Performance-Decrease--Streamline-Ultimate.svg,performance-decrease,performanceDecrease,generico,new,
Performance-Increase--Streamline-Ultimate.svg,performance-increase,performanceIncrease,generico,new,
Phone--Streamline-Ultimate.svg,phone,phone,generico,new,
Phone-Action-At--Streamline-Ultimate.svg,phone-at,phoneAt,generico,new,
Phone-Action-Camera--Streamline-Ultimate.svg,phone-camera,phoneCamera,generico,new,
Phone-Action-Cash--Streamline-Ultimate.svg,phone-cash,phoneCash,generico,new,
Phone-Action-Check--Streamline-Ultimate.svg,phone-check,phoneCheck,generico,new,
Phone-Action-Clock--Streamline-Ultimate.svg,phone-clock,phoneClock,generico,new,
Phone-Action-Credit-Card--Streamline-Ultimate.svg,phone-credit-card,phoneCreditCard,generico,new,
Phone-Action-Data-Transfer--Streamline-Ultimate.svg,phone-data-transfer,phoneDataTransfer,generico,new,
Phone-Action-Disable--Streamline-Ultimate.svg,phone-disable,phoneDisable,generico,new,
Phone-Action-Download--Streamline-Ultimate.svg,phone-download,phoneDownload,generico,new,
Phone-Action-Edit--Streamline-Ultimate.svg,phone-edit,phoneEdit,generico,new,
Phone-Action-Email--Streamline-Ultimate.svg,phone-email,phoneEmail,generico,new,
Phone-Action-Flash--Streamline-Ultimate.svg,phone-flash,phoneFlash,generico,new,
Phone-Action-Image--Streamline-Ultimate.svg,phone-image,phoneImage,generico,new,
Phone-Action-Information--Streamline-Ultimate.svg,phone-information,phoneInformation,generico,new,
Phone-Action-Location--Streamline-Ultimate.svg,phone-location,phoneLocation,generico,new,
Phone-Action-Lock--Streamline-Ultimate.svg,phone-lock,phoneLock,generico,new,
Phone-Action-Music--Streamline-Ultimate.svg,phone-music,phoneMusic,generico,new,
Phone-Action-Navigation-Pin--Streamline-Ultimate.svg,phone-navigation-pin,phoneNavigationPin,generico,new,
Phone-Action-Play--Streamline-Ultimate.svg,phone-play,phonePlay,generico,new,
Phone-Action-Power-Switch--Streamline-Ultimate.svg,phone-power-switch,phonePowerSwitch,generico,new,
Phone-Action-Question--Streamline-Ultimate.svg,phone-question,phoneQuestion,generico,new,
Phone-Action-Refresh--Streamline-Ultimate.svg,phone-refresh,phoneRefresh,generico,new,
Phone-Action-Ring--Streamline-Ultimate.svg,phone-ring,phoneRing,generico,new,
Phone-Action-Search--Streamline-Ultimate.svg,phone-search,phoneSearch,generico,new,
Phone-Action-Settings--Streamline-Ultimate.svg,phone-settings,phoneSettings,generico,new,
Phone-Action-Share--Streamline-Ultimate.svg,phone-share,phoneShare,generico,new,
Phone-Action-Shield--Streamline-Ultimate.svg,phone-shield,phoneShield,generico,new,
Phone-Action-Star--Streamline-Ultimate.svg,phone-star,phoneStar,generico,new,
Phone-Action-Text--Streamline-Ultimate.svg,phone-text,phoneText,generico,new,
